model,device,warmup,iters,avg_ms,min_ms,max_ms,p50_ms,p90_ms,p95_ms,std_ms
CustomCNN,cuda:0 (NVIDIA GeForce RTX 2060),100,10000,0.7966,0.6603,2.5192,0.7252,0.9750,1.1169,0.1584
ResNet-20,cuda:0 (NVIDIA GeForce RTX 2060),100,10000,3.6116,3.0945,9.0466,3.2565,4.5554,5.1196,0.7115
